Company Name,Website URL,Email,Phone Number,Location
Greenwich Village Oral Surgery,http://www.greenwichvillageoralsurgery.com,,,"1 2124 776 300	United States	70 E 10th St, New York, NY 10003"
Stephen Lim DDS and Associates 30 E 37th St btwn Madison & Park Ave New York NY 10016 1 2126 794 300	United States,http://www.stephenlimdds.com,,,
41 Park Dental Pc,https://www.41parkdental.com,,,"1 2126 797 779	United States	41 Park Ave, New York, NY 10016"
Sandip Buch Md,https://www.skypiatrist.com/contact,,,"1 8443 842 779	United States	34 3rd Ave, New York, NY 10003"
Jennifer K Shin DDS 1 2126 834 428	United States,http://httpshindds.com,,,
Lyssova Dental Wellness 1 2128 498 289	United States,,,,
Magic Smile Cosmetic & General Dentistry,http://magicsmileonmadison.com,,,"1 2122 970 357	United States	30 E 40th St, New York, NY 10016"
Emagen Dental,http://www.emagendental.com,,,"1 2123 529 300	United States	603 Greenwich St, New York, NY 10014"
Manhattan Dental Spa,http://www.manhattandentalspa.com,,,"1 2126 832 530	United States	200 Madison Ave, New York, NY 10016"
Perfect Dental Care,http://perfectdentalny.com,,,"1 2122 397 027	United States	101 E 4th St, New York, NY 10003"
Simon Flamm DDS Hell's Kitchen Dental,http://www.hellskitchendental.com,,,"1 2126 443 705	United States	664 10th Ave, New York, NY 10036"
New York Family & Pediatric,http://www.nyfamilypediatricdentistry.com/nyc-cosmetic-dentists,,,"1 2129 699 490	United States	630 5th Ave, New York, NY 10111"
Manhattan Prosthetic Dentistry Dino Bertini DDS,https://www.manhattanpd.com,,,"1 2123 993 466	United States	45 Rockefeller Plz, New York, NY 10111"
Marini & Manci Dentistry 21 Spring St btwn Mott & Elizabeth New York NY 10012 1 2122 261 666	United States,https://www.mariniandmanci.com,,,
Dr Scott Siegel,http://www.drscottsiegel.com,,,"1 2122 047 923	United States	7 W 45th St, New York, NY 10036"
Weitzer Gary DDS 1 2122 281 450	United States,,,,
Siegal John DDS,http://www.johnsiegaldds.com,,,"1 2126 272 929	United States	49 W 12th St, New York, NY 10011"
Zenthea Invisalign & Dental,http://www.zenthea.com,,,"1 2123 807 299	United States	572 5th Ave, New York, NY 10036"
Gramercy Park Dental Svces 1 2128 890 999	United States,http://www.gramercyparkdentalnyc.com,,,
Gramercy Dental Studio 1 2129 246 890	United States,https://www.gramercydentalstudio.com,,,
Astor Smiles Dental 1 2122 540 800	United States,http://astorsmiledental.com,,,
172 NYC Dental,https://172nycdental.com,,,"1 6468 469 649	United States	172 Madison Ave, New York, NY 10016"
Dr Joseph Sachs & Associates 201 W 18th St 7th Avenue New York NY 10011 1 2129 297 718	United States,https://www.drjosephsachs.com,,,
Advanced Dental Arts,http://advanceddentalartsnyc.com,advanceddentalartsgreenwich@gmail.com,,"1 2123 881 170	United States	55 E 9th St, New York, NY 10003"
All on 4 Dental Implants 110 E 40th St 516 New York NY 10016 1 6462 331 856	United States,https://allonfour.com/all-on-four-dental-implants-new-york,allonfour14@gmail.com,,
The Chelsea Dental Group,http://www.thechelseadentalgroup.com/,chelseadentalmarketing@gmail.com,,"1 2122 425 910	United States	360 W 22nd St, New York, NY 10011"
Kate Brayman DDS 20 5th Ave Suite 3B Woodbury NY 10011 1 2125 050 295	United States,http://www.cosmeticdentistryny.com,dental@cosmeticdentistryny.com,,
Chelsea Pediatric Dentistry,http://www.chelseapediatricdentistry.com,drnatasha@chelseapediatricdentistry.com,,"1 2122 435 437	United States	220 W 26th St, New York, NY 10001"
Thomas J Magnani DDS,http://www.7w51dental.com,drtmagnani@yahoo.com,,"1 2126 881 090	United States	7 W 51st St, New York, NY 10019"
Amari Dentistry,,info@amaridentistry.com,,"1 2124 702 213	United States	18 E 50th St, New York, NY 10022"
Integrated Aesthetic Dentistry 130 E 18th St 18th and Irving New York NY 10003 1 2122 545 454	United States,https://www.iadentistry.com,info@iadentistry.com,,
Sterling Dentistry 1 6464 299 480	United States,,info@sterlingdentalnyc.com,,
Tribeca Dental Care,https://tribecanydentistoffice.com,info@tribecanydentistoffice.com,,"1 2124 314 582	United States	402 Broadway, New York, NY 10013"
Village Dental Medicine,https://villagedentalmedicine.com,info@villagedentalmedicine.com,,"1 2127 411 100	United States	401 Avenue of the Americas, New York, NY 10014"
Fine Dental 265 Madison Ave 39th New York NY 10016 1 2127 687 422	United States,https://www.finedental.com,joankantor@finedentalnewyork.com,,
Onsite Dental The Parlor NYC 160 Madison Ave Suite 31 New York NY 10016 1 9174 445 768	United States,,parlor@onsitedental.com,,
ToothDocs,https://madison.toothdocsdental.com,steven.toothdocs@gmail.com,,"1 6466 932 732	United States	175 Madison Ave, New York, NY 10016"
Union Square Dental,https://www.unionsquaredentalny.com,unionsq.dental@gmail.com,,"1 2126 757 877	United States	29 W 19th St, New York, NY 10011"
West 10th Dental PC 45 W 10th St bet 5th & 6th Ave New York NY 10011 1 2129 825 883	United States,http://west10thdental.com,west10thdental@twcmetrobiz.com,,
Harrison Family Dentists Medical Arts Lane United states 8 Medical Arts Lane,https://www.harrisonfamilydentists.com/,,518 584 6240,
Saratoga Springs NY 12866,,,,
Telegraph Dentists United states 6925 Telegraph Rd,https://www.telegraphdentist.com/,,703 313 6999,
Alexandria VA 22310,,,,
Caring Dentists Wilson Boulevard United states 1831 Wilson Boulevard,www.caringdentists.com,,703 522 7733,
Arlington Virginia 22201,,,,
Harrison Family Dentists Church Street United states 11 Church St,https://www.harrisonfamilydentists.com/,,518 725 5611,
Gloversville NY 12078,,,,
